enterprise_id,date,amount,platform,total_funding_amount
5532025817719410582,2021-09-01,700.39,facebook,20000.0
9148671555452718366,2022-02-20,750.0,facebook,32000.0
5822807777852724982,2022-02-20,750.0,facebook,135000.0
2843391753880764310,2022-02-20,750.0,facebook,50000.0
2393859298115499884,2022-02-20,750.0,facebook,15000.0
4636378874853602913,2022-02-20,435.46,facebook,10000.0
1688481867018199886,2021-10-12,750.0,facebook,30000.0
2843391753880764310,2022-02-21,750.0,facebook,50000.0
3516240567180555644,2022-02-21,4.2,google,15000.0
5822807777852724982,2022-02-21,500.0,google,135000.0
8641573576036899873,2022-02-21,750.0,facebook,30000.0
2393859298115499884,2022-02-22,500.0,google,15000.0
4202267719396131946,2022-02-22,229.34,facebook,20000.0
3406105452758170778,2021-11-30,-3402.27,other,35000.0
1190288695542437667,2021-09-12,318.94,facebook,30000.0
2843391753880764310,2022-02-23,750.0,facebook,50000.0
9148671555452718366,2022-02-23,750.0,facebook,32000.0
6071132215378341664,2022-02-23,57.34,other,150000.0
5822807777852724982,2022-02-23,750.0,facebook,135000.0
5822807777852724982,2022-02-23,59978.62,stock,135000.0
5822807777852724982,2022-02-23,1780.65,other,135000.0
1526091497470129680,2022-02-24,-1313.65,other,40000.0
8641573576036899873,2022-02-24,750.0,facebook,30000.0
3012411838694922459,2022-02-24,30.0,facebook,50000.0
5196726616391465149,2022-02-24,750.0,facebook,20000.0
2843391753880764310,2022-02-24,750.0,facebook,50000.0
1190288695542437667,2021-10-01,750.0,facebook,30000.0
2796662849897893108,2022-02-24,32679.8,stock,100000.0
1688481867018199886,2021-10-03,750.0,facebook,30000.0
4239852970793144873,2021-10-05,5000.0,google,100000.0
2843391753880764310,2022-02-26,750.0,facebook,50000.0
9148671555452718366,2022-02-26,750.0,facebook,32000.0
2843391753880764310,2022-02-26,500.0,google,50000.0
4202267719396131946,2022-02-26,54.54,other,20000.0
4239852970793144873,2021-10-13,700.0,facebook,100000.0
2393859298115499884,2022-02-26,173.27,facebook,15000.0
1688481867018199886,2022-02-26,156.01,facebook,30000.0
5196726616391465149,2022-02-27,266.36,facebook,20000.0
8641573576036899873,2022-02-27,750.0,facebook,30000.0
2843391753880764310,2022-02-27,750.0,facebook,50000.0
8641573576036899873,2022-02-28,205.4,facebook,30000.0
3012411838694922459,2022-02-28,500.0,google,50000.0
2843391753880764310,2022-02-28,750.0,facebook,50000.0
4976975039108026700,2021-10-20,500.0,google,20000.0
4239852970793144873,2021-10-23,700.0,facebook,100000.0
4239852970793144873,2021-10-25,700.0,facebook,100000.0
3516240567180555644,2021-10-25,300.71,google,15000.0
2171776145388804735,2021-10-25,750.0,facebook,30000.0
3012411838694922459,2022-03-01,20.64,facebook,50000.0
4202267719396131946,2022-03-01,500.0,google,20000.0
6071132215378341664,2022-03-01,58.63,other,150000.0
3516240567180555644,2022-03-01,183.24,facebook,15000.0
9148671555452718366,2022-03-01,750.0,facebook,32000.0
3012411838694922459,2022-03-01,2000.0,google,50000.0
2171776145388804735,2021-10-28,750.0,facebook,30000.0
3380802313261167994,2021-11-09,750.0,facebook,30000.0
1688481867018199886,2021-11-14,500.0,google,30000.0
4239852970793144873,2021-11-16,700.0,facebook,100000.0
1688481867018199886,2021-11-17,500.0,google,30000.0
3380802313261167994,2021-11-24,750.0,facebook,30000.0
3516240567180555644,2022-02-01,105.05,facebook,15000.0
8641573576036899873,2022-02-01,750.0,facebook,30000.0
3380802313261167994,2022-02-01,454.78,facebook,30000.0
5822807777852724982,2022-02-01,750.0,facebook,135000.0
6071132215378341664,2022-02-01,5000.0,google,150000.0
5532025817719410582,2021-11-25,750.0,facebook,20000.0
3516240567180555644,2021-11-25,310.63,google,15000.0
2393859298115499884,2022-03-02,500.0,google,15000.0
8641573576036899873,2022-03-02,750.0,facebook,30000.0
4636378874853602913,2022-03-02,377.8,facebook,10000.0
6071132215378341664,2022-03-02,12.03,other,150000.0
2843391753880764310,2022-03-02,750.0,facebook,50000.0
7028414130517003693,2022-03-02,232.02,pinterest,25000.0
7260092488379457339,2022-03-02,19560.14,facebook,260000.0
4239852970793144873,2021-11-28,700.0,facebook,100000.0
3335984757348155291,2022-03-30,6544.37,stock,150000.0
3335984757348155291,2022-03-30,457.8,stock,150000.0
